City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description
428,Pacifica,37.6138,-122.4869,58.6,69,20,0.0,US,2021-11-28 05:48:24,few clouds
429,San Felipe,10.3399,-68.7425,72.75,98,83,2.08,VE,2021-11-28 05:48:25,broken clouds
430,Eldorado,-23.7869,-54.2836,65.97,76,0,2.8,BR,2021-11-28 05:48:25,clear sky
431,Saint-Leu,-21.15,55.2833,83.23,75,89,5.99,RE,2021-11-28 05:48:25,light rain
432,Coahuayana,18.7333,-103.6833,71.73,88,5,3.89,MX,2021-11-28 05:48:26,clear sky
433,Gelgaudiskis,55.0792,22.9758,34.3,98,100,6.98,LT,2021-11-28 05:48:26,overcast clouds
434,Swellendam,-34.0226,20.4417,66.81,71,54,6.78,ZA,2021-11-28 05:48:26,broken clouds
435,Edd,13.9297,41.6925,85.6,53,0,4.88,ER,2021-11-28 05:48:27,clear sky
436,Nemuro,43.3236,145.575,39.63,59,82,14.5,JP,2021-11-28 05:48:27,broken clouds
437,Kavieng,-2.5744,150.7967,84.81,65,39,3.04,PG,2021-11-28 05:48:28,scattered clouds
438,Port Macquarie,-31.4333,152.9167,66.16,73,100,10.42,AU,2021-11-28 05:48:28,overcast clouds
439,Nuuk,64.1835,-51.7216,43.41,93,90,26.46,GL,2021-11-28 05:48:29,light snow
440,Barahona,18.2085,-71.1008,75.15,82,19,2.42,DO,2021-11-28 05:48:29,few clouds
441,Chapais,49.7834,-74.8492,17.38,91,100,12.17,CA,2021-11-28 05:48:29,overcast clouds
442,Sept-Iles,50.2001,-66.3821,32.52,100,75,0.0,CA,2021-11-28 05:48:30,broken clouds
443,Navirai,-23.065,-54.1906,66.49,68,0,3.6,BR,2021-11-28 05:48:30,clear sky
444,Naze,28.3667,129.4833,65.32,62,41,20.51,JP,2021-11-28 05:48:31,scattered clouds
445,Poum,-20.2333,164.0167,80.02,76,13,6.62,NC,2021-11-28 05:48:31,few clouds
